section,key,en,nl,fr
ui,title,Fide Registration Form,Fide Registration Form,Fide Registration Form
ui,dark_mode,Dark mode,Donkere modus,Mode sombre
ui,light_mode,Light mode,Lichte modus,Mode clair
ui,mandatory_note,Fields in bold are mandatory. Fields that appear only for certain options are mandatory whenever they are shown.,Velden in het vet zijn verplicht. Velden die enkel verschijnen voor specifieke opties zijn verplicht zodra ze getoond worden.,Les champs en gras sont obligatoires. Les champs qui n'apparaissent que pour certaines options sont obligatoires lorsqu'ils sont affichés.
ui,dark_mode_note,"In dark mode, mandatory fields also have a light blue bar on the left.",In donkere modus hebben verplichte velden ook een lichtblauwe balk aan de linkerkant.,"En mode sombre, les champs obligatoires ont également une barre bleu clair sur la gauche."
ui,export_btn,Submit,Indienen,Soumettre
ui,select_placeholder,--select--,--selecteer--,--sélectionner--
ui,more_arbiters_note,"If there are more than 4 arbiters, mention so in the Remarks at the end of the form.","Als er meer dan 4 arbiters zijn, vermeld dit dan in de Opmerkingen aan het einde van het formulier.","S'il y a plus de 4 arbitres, veuillez le mentionner dans les remarques à la fin du formulaire."
ui,fide_laws_note,By filling in the form you accept that FIDE Laws will be followed.,"Door dit formulier in te vullen, accepteert u dat de FIDE-regels worden gevolgd.","En remplissant le formulaire, vous acceptez que les règles de la FIDE soient suivies."
ui,submitted_title,Form Submitted Successfully!,Formulier succesvol verzonden!,Formulaire soumis avec succès !
ui,submitted_msg,The FIDE registration form has been successfully sent to fide@frbe-kbsb-ksb.be. You will receive a copy or confirmation shortly.,Het FIDE-registratieformulier is succesvol verzonden naar fide@frbe-kbsb-ksb.be. U ontvangt spoedig een kopie of bevestiging.,Le formulaire d'inscription FIDE a été envoyé avec succès à fide@frbe-kbsb-ksb.be. Vous recevrez une copie ou une confirmation sous peu.
ui,back_btn,Back to form,Terug naar het formulier,Retour au formulaire
ui,fide_under_60_warning,Warning: This standard pace total time is less than 60 minutes. It is NOT rateable under FIDE regulations.,Waarschuwing: Bij dit standaardtempo is de totale speeltijd korter dan 60 minuten. Dit is NIET te homologeren volgens FIDE-regels.,"Attention : À cette cadence standard, le temps total de jeu est inférieur à 60 minutes. Ce tournoi n'est PAS homologable selon les règles FIDE."
ui,fide_under_90_warning,"Warning: At this standard pace (< 90 min), the Max Rating field must be filled in with a value less than 1800.",Waarschuwing: Bij dit standaardtempo (< 90 min) moet de maximale rating ingevuld zijn met een waarde kleiner dan 1800.,"Attention : À cette cadence standard (< 90 min), le classement maximum doit être renseigné avec une valeur inférieure à 1800."
ui,fide_under_120_warning,"Warning: At this standard pace (< 120 min), the Max Rating field must be filled in with a value less than 2400.",Waarschuwing: Bij deze standaard bedenktijd (< 120 min) moet het veld Maximale rating worden ingevuld met een waarde lager dan 2400.,"Attention : À cette cadence standard (< 120 min), le champ Classement maximum doit être renseigné avec une valeur inférieure à 2400."
ui,communication_language_hint,This language is used for official communications and confirmation emails.,Deze taal wordt gebruikt voor officiële communicatie en bevestigingsmails.,Cette langue est utilisée pour les communications officielles et les e-mails de confirmation.
categories,tournament_info,Tournament Info,Toernooi-informatie,Informations sur le tournoi
categories,long_tournament_rounds,New long tournament rounds,Rondes voor nieuw lang toernooi,Rondes pour nouveau tournoi long
categories,arbiters,Arbiters,Arbiters,Arbiters
categories,organizers,Organizers,Organizers,Organizers
categories,time_control,Time Control,Bedenktijd,Contrôle du temps
categories,other_parameters,Other Parameters,Overige parameters,Autres paramètres
fields,invoice_email,E-mailaddress (for communication and invoicing reasons),E-mailadres (voor communicatie en facturatie),Adresse e-mail (pour des raisons de communication et de facturation)
fields,invoice_clubnr,Clubnr. (or League or Federation) for invoicing reasons,Clubnummer (of Bond of Federatie) voor facturatie,Numéro de club (ou Ligue ou Fédération) pour la facturation
fields,fide_laws_followed,Will FIDE Laws be followed?,Worden de FIDE-regels gevolgd?,Les règles de la FIDE seront-elles suivies ?
fields,national_championship_143a,National Championship 1.43a,Nationaal Kampioenschap 1.43a,Championnat national 1.43a
fields,on_fide_calendar,Is information put on FIDE Calendar?,Staat de informatie op de FIDE-kalender?,L'information est-elle sur le calendrier FIDE ?
fields,tournament_report,Tournament report,Toernooiverslag (Tournament report),Rapport de tournoi (Tournament report)
fields,tournament_type,Tournament type,Type toernooi,Type de tournoi
fields,tournament_system,Tournament system,Toernooisysteem,Système de tournoi
fields,event_name,Event Name,Naam van het evenement,Nom de l'événement
fields,city,City,Stad,Ville
fields,country,Country,Land,Pays
fields,expected_players,Expected number of players,Verwacht aantal spelers,Nombre attendu de joueurs
fields,rounds_reported,Number of rounds,Aantal ronden,Nombre de rondes
fields,multiple_round_days,Number of multiple round days,Aantal dagen met meerdere ronden,Nombre de jours avec plusieurs rondes
fields,female_only,Female players only,Alleen vrouwelijke spelers,Joueuses féminines uniquement
fields,start_date,Start Date,Startdatum,Date de début
fields,end_date,End Date,Einddatum,Date de fin
fields,title_norms,Title Norms available,Titelnormen beschikbaar,Normes de titre disponibles
fields,gm_wgm_norms,GM/WGM Norms available,GM/WGM-normen beschikbaar,Normes GM/WGM disponibles
fields,chief_arbiter_name,Chief Arbiter Name,Chief Arbiter Name,Chief Arbiter Name
fields,chief_arbiter_fide_id,Chief Arbiter FIDE-ID,Chief Arbiter FIDE-ID,Chief Arbiter FIDE-ID
fields,dep_chief_arbiter1_name,Deputy Chief Arbiter 1 Name,Deputy Chief Arbiter 1 Name,Deputy Chief Arbiter 1 Name
fields,dep_chief_arbiter1_fide_id,Deputy Chief Arbiter 1 FIDE-ID,Deputy Chief Arbiter 1 FIDE-ID,Deputy Chief Arbiter 1 FIDE-ID
fields,dep_chief_arbiter2_name,Deputy Chief Arbiter 2 Name,Deputy Chief Arbiter 2 Name,Deputy Chief Arbiter 2 Name
fields,dep_chief_arbiter2_fide_id,Deputy Chief Arbiter 2 FIDE-ID,Deputy Chief Arbiter 2 FIDE-ID,Deputy Chief Arbiter 2 FIDE-ID
fields,kind_of_arbiters,Kind of Arbiters,Kind of Arbiters,Kind of Arbiters
fields,arbiter1_name,Arbiter 1 Name,Arbiter 1 Name,Arbiter 1 Name
fields,arbiter1_fide_id,Arbiter 1 FIDE-ID,Arbiter 1 FIDE-ID,Arbiter 1 FIDE-ID
fields,arbiter2_name,Arbiter 2 Name,Arbiter 2 Name,Arbiter 2 Name
fields,arbiter2_fide_id,Arbiter 2 FIDE-ID,Arbiter 2 FIDE-ID,Arbiter 2 FIDE-ID
fields,arbiter3_name,Arbiter 3 Name,Arbiter 3 Name,Arbiter 3 Name
fields,arbiter3_fide_id,Arbiter 3 FIDE-ID,Arbiter 3 FIDE-ID,Arbiter 3 FIDE-ID
fields,arbiter4_name,Arbiter 4 Name,Arbiter 4 Name,Arbiter 4 Name
fields,arbiter4_fide_id,Arbiter 4 FIDE-ID,Arbiter 4 FIDE-ID,Arbiter 4 FIDE-ID
fields,chief_organizer_name,Chief Organizer Name,Chief Organizer Name,Chief Organizer Name
fields,chief_organizer_fide_id,Chief Organizer FIDE-ID,Chief Organizer FIDE-ID,Chief Organizer FIDE-ID
fields,organizer1_name,Organizer 1 Name,Organizer 1 Name,Organizer 1 Name
fields,organizer1_fide_id,Organizer 1 FIDE-ID,Organizer 1 FIDE-ID,Organizer 1 FIDE-ID
fields,organizer2_name,Organizer 2 Name,Organizer 2 Name,Organizer 2 Name
fields,organizer2_fide_id,Organizer 2 FIDE-ID,Organizer 2 FIDE-ID,Organizer 2 FIDE-ID
fields,organizer3_name,Organizer 3 Name,Organizer 3 Name,Organizer 3 Name
fields,organizer3_fide_id,Organizer 3 FIDE-ID,Organizer 3 FIDE-ID,Organizer 3 FIDE-ID
fields,time_control_code,Time Control,Bedenktijd,Cadence de jeu
fields,time_control_desc,Time Control Description,Omschrijving bedenktijd,Description de la cadence
fields,timectl_other_desc,Time Control Description if not listed,Omschrijving bedenktijd indien niet in de lijst,Description de la cadence si non répertoriée
fields,timectl1_moves,Moves to first time control,Zetten tot eerste tijdscontrole,Coups pour le premier contrôle
fields,timectl1_minutes,Minutes to first time control,Minuten tot eerste tijdscontrole,Minutes pour le premier contrôle
fields,timectl1_inc_type,Increment/Delay (1st control),Increment/Delay (1e controle),Incrément/Délai (1er contrôle)
fields,timectl1_inc_seconds,Seconds of Increment/Delay (1st control),Seconden Increment/Delay (1e controle),Secondes d'incrément/délai (1er contrôle)
fields,timectl2_moves,Moves to second time control,Zetten tot tweede tijdscontrole,Coups pour le second contrôle
fields,timectl2_minutes,Minutes to second time control,Minuten tot tweede tijdscontrole,Minutes pour le second contrôle
fields,timectl2_inc_type,Increment/Delay (2nd control),Increment/Delay (2e controle),Incrément/Délai (2nd contrôle)
fields,timectl2_inc_seconds,Seconds of Increment/Delay (2nd control),Seconden Increment/Delay (2e controle),Secondes d'incrément/délai (2nd contrôle)
fields,timectl_final_minutes,Minutes for final session,Minuten voor de finale sessie,Minutes pour la session finale
fields,timectl_final_inc_type,Increment/Delay (final),Increment/Delay (finale),Incrément/Délai (finale)
fields,timectl_final_inc_seconds,Seconds of Increment/Delay (final),Seconden Increment/Delay (finale),Secondes d'incrément/délai (finale)
fields,max_rating,Max Rating,Maximale rating,Classement maximum
fields,age_limit,Age Limit,Leeftijdsgrens,Limite d'âge
fields,age_limit_value,Age Limit Value,Waarde leeftijdsgrens,Valeur de la limite d'âge
