ctx,key,en,nl,fr,de
arc,abbrev,Abbreviation,Afkorting,Abréviation,Abkürzung
arc,archive_note,"The Belgian ELO archive is historical and runs up to July 2026. For the most recent FIDE game history and rating calculations, please refer to the player's FIDE profile.","Het Belgisch ELO-archief is historisch en loopt tot juli 2026. Voor de meest recente FIDE-speelgeschiedenis en ratingberekeningen, raadpleeg het FIDE-profiel van de speler.","L'archive ELO belge est historique et s'étend jusqu'en juillet 2026. Pour l'historique FIDE le plus récent et les calculs de classement, consultez le profil FIDE du joueur.",Das belgische ELO-Archiv ist historisch und läuft bis Juli 2026. Für die aktuellste FIDE-Spielhistorie und Ratingberechnungen besuchen Sie bitte das FIDE-Profil des Spielers.
arc,back_to_clubs,Back to clubs,Terug naar clubs,Retour aux clubs,Zurück zu Vereinen
arc,back_to_search,Back to search,Terug naar zoeken,Retour à la recherche,Zurück zur Suche
arc,birthdate,Birthdate,Geboortedatum,Date de naissance,Geburtsdatum
arc,birthyear,Birth Year,Geboortejaar,Année de naissance,Geburtsjahr
arc,black,Black,Zwart,Noir,Schwarz
arc,club_id,Club Number,Clubnummer,Numéro du club,Vereinsnummer
arc,club_name,Club Name,Clubnaam,Nom du club,Vereinsname
arc,club_players_count,Active Members,Ledental,Membres actifs,Aktive Mitglieder
arc,color,Color,Kleur,Couleur,Farbe
arc,date,Date,Datum,Date,Datum
arc,elo_evolution,ELO rating evolution,Verloop ELO-rating,Évolution du classement ELO,ELO-Entwicklung
arc,game_history,Game History,Partijhistoriek,Historique des parties,Partiehistorie
arc,game_nr,Game No.,Partijnr.,N° de partie,Partienummer
arc,gender,Gender,Geslacht,Genre,Geschlecht
arc,last_elo,Last ELO,Laatste ELO,Dernier ELO,Letzte ELO
arc,latest_game,Latest Game,Laatste partij,Dernière partie,Letzte Partie
arc,loading,Loading...,Laden...,Chargement...,Laden...
arc,member_id,Stamnummer,Stamnummer,Matricule,Mitgliedsnummer
arc,nationality,Nationality,Nationaliteit,Nationalité,Nationalität
arc,no_clubs,No clubs found.,Geen clubs gevonden.,Aucun club trouvé.,Keine Vereine gefunden.
arc,no_results,No players found.,Geen spelers gevonden.,Aucun joueur trouvé.,Keine Spieler gefunden.
arc,opponent,Opponent,Tegenstander,Adversaire,Gegner
arc,period,Period,Periode,Période,Periode
arc,player_name,Name,Naam,Nom,Name
arc,players_count,players,spelers,joueurs,Spieler
arc,rating,Rating,Rating,Classement,Wertung
arc,regions_tab,Regions,Regio's,Régions,Regionen
arc,result,Result,Resultaat,Résultat,Ergebnis
arc,search_btn,Search,Zoeken,Rechercher,Suchen
arc,search_club_placeholder,Search club name or number...,Zoek clubnaam of clubnummer...,Rechercher par nom ou numéro de club...,Vereinsname oder Vereinsnummer suchen...
arc,search_club_tab,Search Club,Club zoeken,Rechercher un club,Verein suchen
arc,search_placeholder,Search player name or stamnummer...,Zoek spelersnaam of stamnummer...,Rechercher un nom ou un matricule...,Spielername oder Mitgliedsnummer suchen...
